id,name,img_src,comic_url,view_count,comment,love,newest_chapter,updated_at
ea4381118ca763ed8968f357a4aeb846,Truyện tranh Hải Vương Sau Khi Hoàn Lương Sa Vào Tu La Tràng,https://cmnvymn.com/nettruyen/thumb/hai-vuong-sau-khi-hoan-luong-sa-vao-tu-la-trang.jpg,https://nettruyenaa.com/truyen-tranh/hai-vuong-sau-khi-hoan-luong-sa-vao-tu-la-trang-24212,0,0,0,Chapter 15,4 giờ trước
2bac7752f6d7ef5717a045ac162cb1e5,Truyện tranh Chuyển Sinh Thành Liễu Đột Biến,https://dtcdnyacd.com/nettruyen/thumb/chuyen-sinh-thanh-lieu-dot-bien.jpg,https://nettruyenaa.com/truyen-tranh/chuyen-sinh-thanh-lieu-dot-bien-12979,0,0,0,Chapter 249,4 giờ trước
d21eb2826ea309028c003a98ec7d6779,Truyện tranh Trở Thành Hầu Nữ Còn Quan Trọng Hơn Là Làm Công Chúa,https://cmnvymn.com/nettruyen/thumb/tro-thanh-hau-nu-con-quan-trong-hon-la-lam-cong-chua.jpg,https://nettruyenaa.com/truyen-tranh/tro-thanh-hau-nu-con-quan-trong-hon-la-lam-cong-chua-22986,0,0,0,Chapter 23,5 giờ trước
9c0702c44e8bf1d57ec1ec79758fd43e,"Truyện tranh Ngự Trị Ta, Vị Chúa Tàn Bạo - Zankoku Na Kami Ga Shihaisuru",https://dtcdnyacd.com/nettruyen/thumb/ngu-tri-ta-vi-chua-tan-bao-zankoku-na-kami-ga-shihaisuru.jpg,https://nettruyenaa.com/truyen-tranh/ngu-tri-ta-vi-chua-tan-bao-zankoku-na-kami-ga-shihaisuru-17650,0,0,0,Chapter 42,5 giờ trước
ef924f23433611663439399e9f3e6a6d,Truyện tranh Cháu Trai Của Nam Chính Rất Thích Tôi,https://dtcdnyacd.com/nettruyen/thumb/chau-trai-cua-nam-chinh-rat-thich-toi.jpg,https://nettruyenaa.com/truyen-tranh/chau-trai-cua-nam-chinh-rat-thich-toi-14648,0,0,0,Chapter 78,5 giờ trước
b96a4550efe5e81cd7b388f461b512c8,Truyện tranh Quý Cô Chim Xanh Của Gia Tộc Sư Tử Trắng,https://cmnvymn.com/nettruyen/thumb/quy-co-chim-xanh-cua-gia-toc-su-tu-trang.jpg,https://nettruyenaa.com/truyen-tranh/quy-co-chim-xanh-cua-gia-toc-su-tu-trang-25219,0,0,0,Chapter 26,5 giờ trước
5421dae5340993621df9e233639d19fc,Truyện tranh Ta Mở Ra Con Đường Giết Thần Tại Dị Giới,https://cmnvymn.com/nettruyen/thumb/ta-mo-ra-con-duong-giet-than-tai-di-gioi.jpg,https://nettruyenaa.com/truyen-tranh/ta-mo-ra-con-duong-giet-than-tai-di-gioi-25218,0,0,0,Chapter 82,9 giờ trước
1d27c77c699a7d90c2e503729487793a,Truyện tranh Ta Ký Kết Khế Ước Với Chính Mình,https://cmnvymn.com/nettruyen/thumb/ta-ky-ket-khe-uoc-voi-chinh-minh.jpg,https://nettruyenaa.com/truyen-tranh/ta-ky-ket-khe-uoc-voi-chinh-minh-24100,0,0,0,Chapter 20,10 giờ trước
18fb9c485095ca64d5c10ae3fee30628,Truyện tranh Ta Làm Cặn Bã Ở Tu Tiên Giới,https://cmnvymn.com/nettruyen/thumb/ta-lam-can-ba-o-tu-tien-gioi.jpg,https://nettruyenaa.com/truyen-tranh/ta-lam-can-ba-o-tu-tien-gioi-24772,0,0,0,Chapter 6,10 giờ trước
0e1ca296e155d0a46d6b3a4cebabd91b,Truyện tranh Ta Ở Tu Tiên Giới Chỉ Làm Giờ Hành Chính,https://cmnvymn.com/nettruyen/thumb/ta-o-tu-tien-gioi-chi-lam-gio-hanh-chinh.jpg,https://nettruyenaa.com/truyen-tranh/ta-o-tu-tien-gioi-chi-lam-gio-hanh-chinh-13930,0,0,0,Chapter 73,11 giờ trước
bee31ba27d80a397be9973d66442745f,Truyện tranh Là Healer Nhưng Lại Có Mặt Trên Chiến Trường,https://dtcdnyacd.com/nettruyen/thumb/la-healer-nhung-lai-co-mat-tren-chien-truong.jpg,https://nettruyenaa.com/truyen-tranh/la-healer-nhung-lai-co-mat-tren-chien-truong-7248,0,0,0,Chapter 71.1,11 giờ trước
c32636688e4747868bd9ccf2e7124e12,Truyện tranh Cuồng Loạn Lệnh Nương - Nia Liston,https://cmnvymn.com/nettruyen/thumb/cuong-loan-lenh-nuong-nia-liston.jpg,https://nettruyenaa.com/truyen-tranh/cuong-loan-lenh-nuong-nia-liston-22884,0,0,0,Chapter 8,12 giờ trước
9cc91e1d10f81b443eaee344a389c383,Truyện tranh Huyết Thánh Cứu Thế Chủ~ Ta Chỉ Cần 0.0000001% Đã Trở Thành Vô Địch,https://dtcdnyacd.com/nettruyen/thumb/huyet-thanh-cuu-the-chu-ta-chi-can-0-0000001-da-tro-thanh-vo-dich.jpg,https://nettruyenaa.com/truyen-tranh/huyet-thanh-cuu-the-chu-ta-chi-can-0-0000001-da-tro-thanh-vo-dich-25216,0,0,0,Chapter 74,13 giờ trước
b884c6074d2e71688cb134d9d65686de,Truyện tranh Sổ tay hướng dẫn giới giải trí của yêu quái,https://dtcdnyacd.com/nettruyen/thumb/so-tay-huong-dan-gioi-giai-tri-cua-yeu-quai.jpg,https://nettruyenaa.com/truyen-tranh/so-tay-huong-dan-gioi-giai-tri-cua-yeu-quai-24571,0,0,0,Chapter 109,14 giờ trước
68b56e133fcfecb697eab0a4c15287b0,Truyện tranh Yêu Thần Ký,https://cmnvymn.com/nettruyen/thumb/yeu-than-ky.jpg,https://nettruyenaa.com/truyen-tranh/yeu-than-ky-746,0,0,0,Chapter 604,14 giờ trước
aacebfc172e39a8ba133f358ed19ab2c,Truyện tranh Tôi Đánh cắp tình đầu nữ chính,https://dtcdnyacd.com/nettruyen/thumb/toi-danh-cap-tinh-dau-nu-chinh.jpg,https://nettruyenaa.com/truyen-tranh/toi-danh-cap-tinh-dau-nu-chinh-23563,0,0,0,Chapter 36,14 giờ trước
